Grade
25
6.5
30
26
20.5
37
37.5
23
33.5
26.5
27.5
21.5
30
34
37
16
32
30
36.5
26
23
26.5
27.5
19
37
33
39.5
30
32
37.5
36
36.5
38
34.5
38.5
38.5
35
31
32.5
22
37.5
35
33
19
32
28.5
34
29.5
33
33.5
34.5
33.5
33.5
28.5
37
36
30
26
27.5
39
31.5
31.5
21
29.5
32.5
26.5
28
28
34
34.5
24.5
36
40
26
32.5
36.5
28.5
31
34.5
30.5

